station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;trawling_depth_non_duplicate;bottom_depth;bottom_proximity;taxon;family;species_code;species;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;percentage_c;percentage_c_delipidated;ampl_28;d15n;d15n_delipidated;percentage_n;percentage_n_delipidated;ratio_c_n_muscle;ratio_c_n_muscle_delipidated
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,69;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;11;16;1;Ser-koeff 6;0,471;8982;non;-19,74;-19,91;NA;-19,91;39,27;NA;4905;11,7;NA;12,34;NA;3,18;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,72;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;14,2;24;1;Xeno- cop 24;0,5285;7598;non;-19,88;-20,05;NA;-20,05;40,76;NA;3402;9,8;NA;12,81;NA;3,18;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,6;1116,923;109,28305;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;13;15;1;Xeno-cop 79;0,5295;7782;non;-19,89;-20,06;NA;-20,06;40,17;NA;3360;10,45;NA;12,64;NA;3,18;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,33;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;7,8;3,5;1;Lamp-cro 83;0,499;10337;non;-20,2;-20,36;NA;-20,36;43;NA;3572;8,75;NA;13,46;NA;3,19;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,36;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;9;5,5;1;Lamp-cro 87;0,4975;10132;non;-20,26;-20,42;NA;-20,42;42,4;NA;3491;9,29;NA;13,28;NA;3,19;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,15;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13,1;19;1;Lamp-cro 101;0,5095;8279;non;-19,18;-19,34;NA;-19,34;46;NA;3709;10,93;NA;14,44;NA;3,19;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,48;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;7,4;3;1;Mau-arg 10;0,4605;9192;non;-19,56;-19,73;NA;-19,56;41,3;NA;5006;12,11;NA;12,96;NA;3,19;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,51;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;7,5;4;1;Mau-arg 6;0,511;10203;non;-19,7;-19,86;NA;-19,7;41,93;NA;3556;12,37;NA;13,13;NA;3,19;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,55;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;8,8;8;1;Mau-arg 13;0,497;9721;non;-19,56;-19,73;NA;-19,56;41;NA;3377;11,64;NA;12,87;NA;3,19;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,62;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;8,5;5,5;1;Ser-koeff 13;0,4655;8876;non;-19,95;-20,11;NA;-20,11;39,65;NA;4840;12,13;NA;12,43;NA;3,19;NA
