station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;bottom_depth;bottom_proximity;taxon;family;species_code;species;group;community;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;%c;%c_delipidated;ampl_28;d15n;d15n_delipidated;%n;%n_delipidated;ratio_c_n_muscle_delipidated;ratio_c_n_muscle
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;7,2;4,9;1;Myct-pun 41;0,5185;9731;oui;-20,12518006;-19,94048126;-20,4;-20,4;46,66104767;40,94;4692;9,953568576;10,24;13,18071531;12,47;3,540099803;3,282726551
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;7;4,5;1;Myct-pun 38;0,5045;10233;oui;-20,37092264;-20,08209831;-20,46;-20,46;46,94230339;42,03;4450;10,11269662;10,19;12,87756792;12,78;3,645277094;3,288467938
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,1;3;1;Myct-pun 39;0,5145;9605;oui;-20,51204259;-20,20583731;-19,97;-19,97;47,62441832;42,17;4594;9,603286721;9,78;13,00206979;12,58;3,662833618;3,352408593
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;5,9;3,6;1;Myct-pun 52;0,483;10136;oui;-20,49;-20,08195466;-19,9;-19,9;47,22;42,27;4146;9,93;9,92;12,53;12,4;3,768161431;3,407843145
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6;2,9;1;Myct-pun 57;0,451;9660;oui;-20,59;-20,43036055;-20,3;-20,3;47,32;42,57;4179;9,89;9,84;13,47;12,65;3,513982831;3,366123478
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,1;3;1;Myct-pun 44;0,5175;9807;oui;-20,84906132;-20,36676562;-20,24;-20,24;47,13312949;42,64;4311;9,793439728;9,8;12,27200669;12,51;3,840702723;3,407535195
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,1;3;1;Myct-pun 45;0,4525;9435;oui;-20,49149973;-20,34482387;-20,04;-20,04;46,74187951;42,65;4125;9,369098281;9,07;13,34836674;12,89;3,501692786;3,309333228
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6;3,1;1;Myct-pun 49;0,4755;9995;oui;-20,59816559;-20,16407674;-20,08;-20,08;47,86157213;42,68;4069;10,59308316;10,39;12,62169286;12,37;3,792008938;3,449306376
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,4;3,6;1;Myct-pun 54;0,523;10550;oui;-21,59;-20,26991455;-20,18;-20,18;50,96;42,96;3908;9,83;9,55;10,88;12,25;4,682904475;3,505779898
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;5,7;2,8;1;Myct-pun 40;0,516;10027;oui;-21,24050043;-20,57092822;-19,79;-19,79;49,5989523;42,98;4338;9,676345508;9,62;12,30782655;13,09;4,029870921;3,284600938
